feature,importance
low_lag_3,0.03038534
rolling_max_10,0.023446664
close_lag_2,0.022094674
close_lag_1,0.021541577
rolling_max_20,0.020725887
BB_middle,0.020318221
low_lag_2,0.019767467
hour,0.019717786
low_lag_5,0.019372497
returns,0.018499829
is_bullish,0.018085834
high_lag_5,0.017924324
upper_wick,0.017683016
high_lag_1,0.01753752
minute,0.017438956
high_lag_2,0.017191824
rolling_min_20,0.017024957
lower_wick,0.01613526
SMA_10,0.015921282
SMA_5,0.015700003
BB_upper,0.01565553
rolling_min_5,0.015245819
close_to_sma20,0.015218225
RSI_14,0.0150211
rolling_range_10,0.014977002
high_lag_3,0.014909607
BB_lower,0.014908082
candle_range,0.014880976
rolling_min_10,0.0148586435
close_lag_3,0.014767696
bb_position,0.014762727
STOCH_k,0.014704772
low_lag_1,0.014578921
rolling_range_5,0.014508859
STOCH_d,0.014366209
MACD_signal,0.014242012
distance_from_high_20,0.014112089
Close,0.014009926
Low,0.013931669
rolling_std_10,0.013862817
MACD_hist,0.013743897
rolling_max_5,0.013660761
close_to_ema20,0.013638377
EMA_10,0.013610223
EMA_20,0.013538153
MACD,0.013505851
body_range_ratio,0.013501424
returns_lag_1,0.013474198
ATR_14,0.013458866
rolling_range_20,0.013352739
body_size,0.01329887
ADX,0.013263115
returns_lag_5,0.013085326
close_lag_5,0.013038723
BB_width,0.012995632
rolling_std_5,0.012765068
EMA_5,0.012710549
returns_lag_3,0.012618965
distance_from_low_20,0.012524962
returns_lag_2,0.012144853
High,0.012098062
lower_wick_ratio,0.012067866
Open,0.011450452
day_of_week,0.011225339
upper_wick_ratio,0.009192158
rolling_mean_10,0.0
rolling_mean_20,0.0
rolling_std_20,0.0
rolling_mean_5,0.0
is_market_hours,0.0
volume_change,0.0
SMA_20,0.0
open_interest,0.0
Volume,0.0
